category,url,job_id,title,company,location,contract_type,salary,published_date,short_description,remote,experience,scraped_at
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73737948.html,73737948,Directeur des Ventes Associé - Projet International Immersif et Iconique H/F,Michael Page,90 000 - 95 000 € / an,CDI,90 000 - 95 000 € / an,il y a 1 heure,"Directeur des Ventes Associé - Projet International Immersif et Iconique H/F
Michael Page
Paris 15e - 75
CDI
90 000 - 95 000 € / an
… Vous êtes diplômé·e d'un Bac +5 minimum en commerce en vente et management dans le secteur du…
Voir l’offre
il y a 1 heure",False,,2025-12-16T10:23:15.804918
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73737941.html,73737941,Assistant Commercial H/F,Page Personnel,24 000 - 27 000 € / an,CDI,24 000 - 27 000 € / an,il y a 1 heure,"Assistant Commercial H/F
Page Personnel
Tours - 37
CDI
24 000 - 27 000 € / an
... également ouvert aux candidats en situation de handicap Entreprise familale ou l'entraide, implications et l'autonomie sont les maitres mots.
Voir l’offre
il y a 1 heure",False,,2025-12-16T10:23:16.216378
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73737850.html,73737850,Chargé d'Affaires H/F,Michael Page,45 000 - 50 000 € / an,CDI,45 000 - 50 000 € / an,il y a 1 heure,"Chargé d'Affaires H/F
Michael Page
Versailles - 78
CDI
45 000 - 50 000 € / an
… * Formation Bac +2 minimum en commerce , * Maîtrise des outils bureautiques…
Voir l’offre
il y a 1 heure",False,,2025-12-16T10:23:16.631519
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73737851.html,73737851,Commercial Powertools Enseignes H/F,Page Personnel,45 000 - 50 000 € / an,CDI,45 000 - 50 000 € / an,il y a 1 heure,"Commercial Powertools Enseignes H/F
Page Personnel
Montpellier - 34
CDI
45 000 - 50 000 € / an
… techniques de ventes, le tout avec le sens du commerce . Rejoignez une équipe dynamique et booster votre carrière.…
Voir l’offre
il y a 1 heure",False,,2025-12-16T10:23:17.089892
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73737766.html,73737766,Conseiller Clients H/F,Skills Vendée Poitou-Charentes,32 000 - 38 000 € / an,CDI,32 000 - 38 000 € / an,il y a 1 heure,"Conseiller Clients H/F
Skills Vendée Poitou-Charentes
Luçon - 85
CDI
32 000 - 38 000 € / an
… De en finance, comptabilité ou économie (Licence, Master, IAE, école de commerce , ou équivalent), vous justifiez idéalement de 3 ans…
Voir l’offre
il y a 1 heure",False,,2025-12-16T10:23:17.614241
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73737718.html,73737718,Responsable de Portefeuille Clients - Autonome H/F,Skills Nice,35 000 - 40 000 € / an,CDI,35 000 - 40 000 € / an,il y a 1 heure,"Responsable de Portefeuille Clients - Autonome H/F
Skills Nice
Nice - 06
CDI
35 000 - 40 000 € / an
... terme - Excellentes compétences rédactionnelles et communication orale - Maîtrise des outils bureautiques et logiciels spécifiques au métier de l'audit...
Voir l’offre
il y a 1 heure",False,,2025-12-16T10:23:18.287324
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73737555.html,73737555,Manager Intégration Logistique et Approvisionnement - Mission Fy26 H/F,IKEA,Fos-sur-Mer - 13,CDD,,il y a 2 heures,"Manager Intégration Logistique et Approvisionnement - Mission Fy26 H/F
IKEA
Fos-sur-Mer - 13
CDD
... pour le plus grand nombre tout en améliorant l'expérience client. Nous sommes une équipe constituée de femmes...
Voir l’offre
il y a 2 heures",False,,2025-12-16T10:23:18.770555
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73737512.html,73737512,Technico Commercial 02-08 H/F,De Graët Consulting,Aisne - 02,CDI,,il y a 2 heures,"Technico Commercial 02-08 H/F
De Graët Consulting
Aisne - 02
CDI
... ou indirects) afin construire un portefeuille de professionnels du bâtiment, - Développer le chiffre d'affaires tout en veillant aux marges,...
Voir l’offre
il y a 2 heures",False,,2025-12-16T10:23:19.379266
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73737119.html,73737119,Commercial CHR - CDI - Saint-Flour 15 H/F,Heineken,Saint-Flour - 15,CDI,2 200 € / mois,il y a 3 heures,"Commercial CHR - CDI - Saint-Flour 15 H/F
Heineken
Saint-Flour - 15
CDI
2 200 € / mois
… : des animations dédiées). VOS ATOUTS: De formation niveau Bac +2 (orienté commerce réussie en tant que Commercial(e) terrain B to B,…
Voir l’offre
il y a 3 heures",False,,2025-12-16T10:23:19.944554
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73737111.html,73737111,Conseiller Clients H/F,Supplay,20 000 - 25 000 € / an,CDI,20 000 - 25 000 € / an,il y a 3 heures,"Conseiller Clients H/F
Supplay
Saint-Herblain - 44
CDI
20 000 - 25 000 € / an
... interne pour tous les postes à pourvoir dans nos différents métiers, avec des parcours de formation adaptés pour vous accompagner.
Voir l’offre
il y a 3 heures",False,,2025-12-16T10:23:20.372388
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73741628.html,73741628,Commercial Sédentaire en Agence BTP - Négoce H/F,Slash Intérim,Retournac - 43,CDI,,moins d'une heure,"Commercial Sédentaire en Agence BTP - Négoce H/F
Slash Intérim
Retournac - 43
CDI
... Intérim, premier réseau de recruteur indépendant, recherche pour l'un de nos partenaires un Commercial sédentaire H/F, basé à Saint-Priest (69800)...
Voir l’offre
moins d'une heure",False,,2025-12-16T10:23:34.414278
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73741624.html,73741624,Commercial Itinérant H/F,Slash Intérim,Saint-Étienne - 42,CDI,,moins d'une heure,"Commercial Itinérant H/F
Slash Intérim
Saint-Étienne - 42
CDI
... des fonctions similaires, avec un focus sur le développement commercial. - Capacités relationnelles et engagement envers le...
Voir l’offre
moins d'une heure",False,,2025-12-16T10:23:34.888661
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73741623.html,73741623,Commercial Sédentaire en Agence BTP - Négoce H/F,Slash Intérim,Saint-Priest - 69,CDI,,moins d'une heure,"Commercial Sédentaire en Agence BTP - Négoce H/F
Slash Intérim
Saint-Priest - 69
CDI
... - Excellentes compétences relationnelles et commerciales. Nous offrons : ...
Voir l’offre
moins d'une heure",False,,2025-12-16T10:23:35.286109
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73741619.html,73741619,Commercial Sédentaire Secteur Métallurgie H/F,Slash Intérim,35 000 - 45 000 € / an,CDD,35 000 - 45 000 € / an,moins d'une heure,"Commercial Sédentaire Secteur Métallurgie H/F
Slash Intérim
Feyzin - 69
CDD
35 000 - 45 000 € / an
... Compétences en gestion de projets et en négociation commerciale. Une connaissance techniques et...
Voir l’offre
moins d'une heure",False,,2025-12-16T10:23:35.721643
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73741565.html,73741565,Chargé de Compte Multirisques Immeuble H/F,Effektiv,35 000 - 40 000 € / an,CDI,35 000 - 40 000 € / an,moins d'une heure,"Chargé de Compte Multirisques Immeuble H/F
Effektiv
Marseille 6e - 13
CDI
35 000 - 40 000 € / an
Télétravail partiel
... vous avez le sens de la rigueur et une bonne capacité d'analyse. Vous...
Voir l’offre
moins d'une heure",True,,2025-12-16T10:23:36.172362
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73741561.html,73741561,Commercial - Imprimerie- Alternance H/F,ICFA Campus Saint François,Montpellier - 34,Alternance,"1 801,80 € / mois",moins d'une heure,"Commercial - Imprimerie- Alternance H/F
ICFA Campus Saint François
Montpellier - 34
Alternance
1 801,80 € / mois
2 ans
- Jeune motivé(e), dynamique et curieux(se). - Aisance relationnelle et goût prononcé pour la vente. - Autonomie, persévérance...
Voir l’offre
moins d'une heure",False,,2025-12-16T10:23:36.636368
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73741560.html,73741560,Commercial Btob H/F,Dalta SA,24 015 - 63 000 € / an,CDI,24 015 - 63 000 € / an,moins d'une heure,"Commercial Btob H/F
Dalta SA
Draguignan - 83
CDI
24 015 - 63 000 € / an
... une filière commerciale et/ou technique avec une expérience réussie d'au moins 2 ans dans la vente auprès des professionnels. ...
Voir l’offre
moins d'une heure",False,,2025-12-16T10:23:37.032449
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73741556.html,73741556,Technico-Commercial Itinérant H/F,Slash Intérim,3 900 - 4 400 € / mois,CDI,3 900 - 4 400 € / mois,moins d'une heure,"Technico-Commercial Itinérant H/F
Slash Intérim
Saint-Ouen-l'Aumône - 95
CDI
3 900 - 4 400 € / mois
... Profil attendu : - Vous avez une connaissance approfondie dans le domaine...
Voir l’offre
moins d'une heure",False,,2025-12-16T10:23:37.471462
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73741545.html,73741545,Responsable Commercial Nantes 44 H/F,Hunteo,Nantes - 44,CDI,,moins d'une heure,"Responsable Commercial Nantes 44 H/F
Hunteo
Nantes - 44
CDI
... vente directe de produits finis - Une capacité à développer de nouveaux comptes et à gérer des...
Voir l’offre
moins d'une heure",False,,2025-12-16T10:23:37.922919
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73741537.html,73741537,Stage - Assistant Commercial H/F,Surfaces et Volumes,Montpellier - 34,Stage,,moins d'une heure,"Stage - Assistant Commercial H/F
Surfaces et Volumes
Montpellier - 34
Stage
2 mois
… aux équipes. Le profil que l'on recherche - Étudiant(e) en commerce - Organisé(e), rigoureux(se) et à l'aise avec l'administratif. -…
Voir l’offre
moins d'une heure",False,,2025-12-16T10:23:38.470535
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73741509.html,73741509,Assistant Relation Client - ADV - Alternance H/F,ICFA Campus Saint François,Montpellier - 34,Alternance,"1 801,80 € / mois",moins d'une heure,"Assistant Relation Client - ADV - Alternance H/F
ICFA Campus Saint François
Montpellier - 34
Alternance
1 801,80 € / mois
2 ans
… - Niveau Bac minimum (STMG, Bac Pro GA/ commerce ) - Aisance relationnelle et goût du service…
Voir l’offre
moins d'une heure",False,,2025-12-16T10:23:39.007729
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73741318.html,73741318,Conseiller Clientèle Trilingue Anglais - Allemand H/F,Jobmania,25 500 - 27 500 € / an,CDI,25 500 - 27 500 € / an,moins d'une heure,"Conseiller Clientèle Trilingue Anglais - Allemand H/F
Jobmania
Paris - 75
CDI
25 500 - 27 500 € / an
... Vous aimez le contact humain, savez faire preuve d'empathie et rassurer vos interlocuteurs - Vous désirez analyser des situations...
Voir l’offre
moins d'une heure",False,,2025-12-16T10:23:39.600258
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73741307.html,73741307,Commercial en Alternance H/F,LEVEL HOP,"486,49 - 1 801,80 € / mois",Alternance,"486,49 - 1 801,80 € / mois",moins d'une heure,"Commercial en Alternance H/F
LEVEL HOP
Nancy - 54
Alternance
486,49 - 1 801,80 € / mois
Télétravail partiel
+ 1
Aucune expérience en commerce - Bonne présentation …
Voir l’offre
moins d'une heure",True,,2025-12-16T10:23:40.160142
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73741302.html,73741302,Adjoint - Adjointe Chargé d'Affaires H/F,Chaplain,25 000 - 35 000 € / an,Intérim,25 000 - 35 000 € / an,moins d'une heure,"Adjoint - Adjointe Chargé d'Affaires H/F
Chaplain
Niort - 79
Intérim
25 000 - 35 000 € / an
1 mois
… à des devis - Suivi et retour d'informations auprès des clients Commerce & vente de pièces détachées - Identification des besoins et…
Voir l’offre
moins d'une heure",False,,2025-12-16T10:23:40.741013
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73741290.html,73741290,Animateur Commercial Multi-Sites H/F,123 Pare-Brise,2 081 - 4 581 € / mois,CDI,2 081 - 4 581 € / mois,moins d'une heure,"Animateur Commercial Multi-Sites H/F
123 Pare-Brise
Super recruteur
Scionzier - 74
CDI
2 081 - 4 581 € / mois
… l'animation de réseau, la gestion multi-sites, la relation client ou le commerce terrain. - Le travail le samedi ne te pose pas de -…
Voir l’offre
moins d'une heure",False,,2025-12-16T10:23:41.290153
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73741284.html,73741284,Animateur Commercial Multi-Sites H/F,123 Pare-Brise,2 081 - 4 581 € / mois,CDI,2 081 - 4 581 € / mois,moins d'une heure,"Animateur Commercial Multi-Sites H/F
123 Pare-Brise
Super recruteur
Epagny Metz-Tessy - 74
CDI
2 081 - 4 581 € / mois
… l'animation de réseau, la gestion multi-sites, la relation client ou le commerce terrain. - Le travail le samedi ne te pose pas de -…
Voir l’offre
moins d'une heure",False,,2025-12-16T10:23:41.790648
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73741271.html,73741271,Alternance - Assistant Commercial H/F,Alticome,"486,49 - 1 801,80 € / mois",Alternance,"486,49 - 1 801,80 € / mois",moins d'une heure,"Alternance - Assistant Commercial H/F
Alticome
Rennes - 35
Alternance
486,49 - 1 801,80 € / mois
24 mois
... vous rapidement pour vous informer de notre décision et transmettre votre CV à notre entreprise partenaire ...
Voir l’offre
moins d'une heure",False,,2025-12-16T10:23:42.276615
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73741249.html,73741249,Conseiller Clientèle H/F,First Stop Ayme,2 000 - 2 300 € / mois,CDI,2 000 - 2 300 € / mois,moins d'une heure,"Conseiller Clientèle H/F
First Stop Ayme
Nîmes - 30
CDI
2 000 - 2 300 € / mois
… - Sens du commerce
Voir l’offre
moins d'une heure",False,,2025-12-16T10:23:42.802397
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73741177.html,73741177,Gestionnaire de Clientèle Particuliers H/F,Business K Concept,Toulon - 83,CDI,31 000 € / an,moins d'une heure,"Gestionnaire de Clientèle Particuliers H/F
Business K Concept
Toulon - 83
CDI
31 000 € / an
... -Appétence commerciale -Premières expérience souhaitée -Inscrit à France Travail en tant...
Voir l’offre
moins d'une heure",False,,2025-12-16T10:23:43.308508
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73741172.html,73741172,Responsable Commercial H/F,ALSEAMAR,55 000 - 65 000 € / an,CDI,55 000 - 65 000 € / an,moins d'une heure,"Responsable Commercial H/F
ALSEAMAR
Super recruteur
Six-Fours-les-Plages - 83
CDI
55 000 - 65 000 € / an
Télétravail occasionnel
... confidentialité, usages opérationnels). Maîtrise des architectures de communication, liaisons radio, protocoles, intégration système. Compétences...
Voir l’offre
moins",True,,2025-12-16T10:23:43.829568
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73741154.html,73741154,Responsable de Portefeuille Comptable - Antony 92 H/F,ODAS CONSEIL,36 000 - 42 000 € / an,CDI,36 000 - 42 000 € / an,moins d'une heure,"Responsable de Portefeuille Comptable - Antony 92 H/F
ODAS CONSEIL
Antony - 92
CDI
36 000 - 42 000 € / an
Télétravail partiel
... (DCG, DSCG ou équivalent). - Vous justifiez de 4 à 6 périodes fiscales complètes en cabinet d'expertise comptable, vous...
Voir l’offre
moins d'une heure",True,,2025-12-16T10:23:59.492117
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73741151.html,73741151,Conseiller Technico-Commercial - Carpiquet H/F,Kiloutou,Carpiquet - 14,CDI,,moins d'une heure,"Conseiller Technico-Commercial - Carpiquet H/F
Kiloutou
Carpiquet - 14
CDI
... En plus d'un parcours évolutif, nous vous proposons un package attractif : bonus mensuels, intéressements trimestriels,...
Voir l’offre
moins d'une heure",False,,2025-12-16T10:23:59.938290
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73741123.html,73741123,Adjoint Responsable d'Affaires CFA H/F,OPTEOR IMMOTIC,42 000 - 49 000 € / an,CDI,42 000 - 49 000 € / an,moins d'une heure,"Adjoint Responsable d'Affaires CFA H/F
OPTEOR IMMOTIC
Nanterre - 92
CDI
42 000 - 49 000 € / an
Ø Autonome, organisé(e), astucieux(se), ponctuel(le), respectueux(se) des règles de travail, vous aimez le challenge ? Ø Une bonne...
Voir l’offre
moins d'une heure",False,,2025-12-16T10:24:00.385232
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73741118.html,73741118,Alternance - Commercial H/F,Ecofac Business School Rennes,"486,49 - 1 801,80 € / mois",Alternance,"486,49 - 1 801,80 € / mois",moins d'une heure,"Alternance - Commercial H/F
Ecofac Business School Rennes
Cesson-Sévigné - 35
Alternance
486,49 - 1 801,80 € / mois
24 mois
- Polyvalence - Rigueur - Aisance relationnelle - Fibre commerciale - Esprit combatif - Capacité...
Voir l’offre
moins d'une heure",False,,2025-12-16T10:24:00.807766
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73741109.html,73741109,Responsable de Portefeuille Comptable - Boulogne-Billancourt 92 H/F,ODAS CONSEIL,48 000 - 55 000 € / an,CDI,48 000 - 55 000 € / an,moins d'une heure,"Responsable de Portefeuille Comptable - Boulogne-Billancourt 92 H/F
ODAS CONSEIL
Boulogne-Billancourt - 92
CDI
48 000 - 55 000 € / an
Télétravail partiel
... rigoureux(se) et impliqué(e), vous aimez gérer vos dossiers de bout en bout et être force de proposition. ...
Voir l’offre
moins d'une heure",True,,2025-12-16T10:24:01.178719
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73741087.html,73741087,Responsable de Portefeuille Comptable - Chartres 28 H/F,ODAS CONSEIL,37 000 - 42 000 € / an,CDI,37 000 - 42 000 € / an,moins d'une heure,"Responsable de Portefeuille Comptable - Chartres 28 H/F
ODAS CONSEIL
Chartres - 28
CDI
37 000 - 42 000 € / an
Télétravail partiel
... : CDI - Temps plein Rémunération fixe : 37-42K€ selon profil et expérience ...
Voir l’offre
moins d'une heure",True,,2025-12-16T10:24:01.655276
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73741053.html,73741053,Commercial H/F,Securitas Technology,35 000 - 55 000 € / an,CDI,35 000 - 55 000 € / an,moins d'une heure,"Commercial H/F
Securitas Technology
Super recruteur
Metz - 57
CDI
35 000 - 55 000 € / an
Télétravail occasionnel
... et conquérir de nouveaux business, vous avez le sens des responsabilités et êtes autonome dans votre organisation de travail ainsi...
Voir l’offre
moins d'une heure",True,,2025-12-16T10:24:02.149191
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73741042.html,73741042,Commercial H/F,Securitas Technology,35 000 - 55 000 € / an,CDI,35 000 - 55 000 € / an,moins d'une heure,"Commercial H/F
Securitas Technology
Super recruteur
Grenoble - 38
CDI
35 000 - 55 000 € / an
Télétravail occasionnel
... Vous êtes une personne ambitieuse, motivée par les défis et désireuse de conquérir de nouveaux marchés. Votre sens des responsabilités...
Voir l’offre
moins d'une heure",True,,2025-12-16T10:24:02.656164
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73740895.html,73740895,Animateur Commercial - Rayon Liquides - Leclerc Concarneau - 26-27 - 12 H/F,Demosthene,Concarneau - 29,CDD,"11,88 € / heure",moins d'une heure,"Animateur Commercial - Rayon Liquides - Leclerc Concarneau - 26-27 - 12 H/F
Demosthene
Concarneau - 29
CDD
11,88 € / heure
2 jours
... Votre bonne humeur, dynamisme et sourire seront vos alliés pour réussir la mission ...
Voir l’offre
moins d'une heure",False,,2025-12-16T10:24:03.141560
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73740871.html,73740871,Conseiller Commercial H/F,Groupama Centre Manche,Gaillon - 27,CDI,,moins d'une heure,"Conseiller Commercial H/F
Groupama Centre Manche
Gaillon - 27
CDI
L'indispensable pour être notre futur(e) collègue... Tu disposes d'une première expérience commerciale réussie et tu maitrises les techniques de vente....
Voir l’offre
moins d'une heure",False,,2025-12-16T10:24:03.535730
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73740819.html,73740819,Responsable Commercial Grand Compte H/F,Dassault Systèmes,Meudon la Forêt - 92,CDI,,il y a 1 heure,"Responsable Commercial Grand Compte H/F
Dassault Systèmes
Meudon la Forêt - 92
CDI
… de les objectifs commerciaux Qualifications De formation supérieure (Ecole de commerce ou d'ingénieur), vous avez : - Au moins 8 ans…
Voir l’offre
il y a 1 heure",False,,2025-12-16T10:24:03.942685
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73740776.html,73740776,Conseiller Commercial en Alternance H/F,Walter Learning,760 - 1 802 € / mois,Alternance,760 - 1 802 € / mois,il y a 1 heure,"Conseiller Commercial en Alternance H/F
Walter Learning
Tours - 37
Alternance
760 - 1 802 € / mois
18 mois
... sens du service client. - Vous êtes curieux(se), motivé(e) par les objectifs commerciaux et vous aimez relever des défis....
Voir l’offre
il y a 1 heure",False,,2025-12-16T10:24:04.420449
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73740761.html,73740761,Conseiller Commercial en Alternance H/F,Walter Learning,760 - 1 802 € / mois,Alternance,760 - 1 802 € / mois,il y a 1 heure,"Conseiller Commercial en Alternance H/F
Walter Learning
Grenoble - 38
Alternance
760 - 1 802 € / mois
18 mois
... l'aise (ou avez envie de monter en compétence) avec les outils bureautiques, notamment Excel. - Vous vous exprimez avec...
Voir l’offre
il y a 1 heure",False,,2025-12-16T10:24:04.855198
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73740746.html,73740746,Technico-Commercial Itinérant Chargé d'Affaires Btob Sécurité H/F,SSI SYSTEMES,,CDI,,il y a 1 heure,"Technico-Commercial Itinérant Chargé d'Affaires Btob Sécurité H/F
SSI SYSTEMES
Île-de-France - Normandie
CDI
Télétravail occasionnel
... - Autonomie, implication et rigueur font partie de votre ADN. - Vous appréciez le terrain, les déplacements et le...
Voir l’offre
il y a 1 heure",True,,2025-12-16T10:24:05.349375
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73740733.html,73740733,Animateur Commercial - Rayon Liquides - Carrefour St Andre les Vergers - 20 - 12 H/F,Demosthene,Saint-André-les-Vergers - 10,CDD,"11,88 € / heure",il y a 1 heure,"Animateur Commercial - Rayon Liquides - Carrefour St Andre les Vergers - 20 - 12 H/F
Demosthene
Saint-André-les-Vergers - 10
CDD
11,88 € / heure
1 jour
... Nous attendons de vous : ponctualité, bonne présentation & sérieux Votre bonne humeur,...
Voir l’offre
il y a 1 heure",False,,2025-12-16T10:24:05.939273
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73740732.html,73740732,Commercial H/F,Work 2000,2 100 - 2 500 € / mois,CDI,2 100 - 2 500 € / mois,il y a 1 heure,"Commercial H/F
Work 2000
Nantes - 44
CDI
2 100 - 2 500 € / mois
... challenge : vous aimez relever des défis et êtes motivé(e) par les objectifs à atteindre. - Un plus ?...
Voir l’offre
il y a 1 heure",False,,2025-12-16T10:24:06.459941
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73740728.html,73740728,Assistant Commercial Grands Comptes - CDD 6 H/F,M&J TRUSTED RECRUITMENT,Paris 17e - 75,CDD,30 000 € / an,il y a 1 heure,"Assistant Commercial Grands Comptes - CDD 6 H/F
M&J TRUSTED RECRUITMENT
Super recruteur
Paris 17e - 75
CDD
30 000 € / an
7 mois
... - Temps de travail : Base 35h - Avantages : Prime de participation aux bénéfices, Mutuelle d'entreprise, Tickets...
Voir l’offre
il y a 1 heure",False,,2025-12-16T10:24:07.015744
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73740720.html,73740720,Commercial Secteur Normandie H/F,Les Zelles,Caen - 14,CDI,,il y a 1 heure,"Commercial Secteur Normandie H/F
Les Zelles
Caen - 14
CDI
... Vous êtes titulaire d'un Bac +2 ou Bac +3 dans le domaine de technique ou commercial ? ...
Voir l’offre
il y a 1 heure",False,,2025-12-16T10:24:07.440404
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73740718.html,73740718,Commercial H/F,Work 2000,2 100 - 2 500 € / mois,CDI,2 100 - 2 500 € / mois,il y a 1 heure,"Commercial H/F
Work 2000
Valence - 26
CDI
2 100 - 2 500 € / mois
... et avez une bonne connaissance de différents secteurs d'activité. - Esprit d'équipe et excellent relationnel sont des qualités qui...
Voir l’offre
il y a 1 heure",False,,2025-12-16T10:24:07.975467
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73740664.html,73740664,Commercial France - Export Ingrédients et Pet Care H/F,Polaris,40 000 - 50 000 € / an,CDI,40 000 - 50 000 € / an,il y a 1 heure,"Commercial France - Export Ingrédients et Pet Care H/F
Polaris
Quimper - 29
CDI
40 000 - 50 000 € / an
Télétravail occasionnel
… la Compétences attendues : - Bac +4/5 ( commerce, agro, chimie, commerce - Anglais courant indispensable (2 langue -…
Voir l’offre
il y a 1 heure",True,,2025-12-16T10:24:23.559065
Emploi Commerce,https://www.hellowork.com/fr-fr/emplois/73740606.html,73740606,Animateur Commercial - Rayon Liquides - Leclerc Azay le Brule - 19-20 - 12 H/F,Demosthene,Azay-le-Brûlé - 79,CDD,"11,88 € / heure",il y a 1 heure,"Animateur Commercial - Rayon Liquides - Leclerc Azay le Brule - 19-20 - 12 H/F
Demosthene
Azay-le-Brûlé - 79
CDD
11,88 € / heure
2 jours
... la vente ou tout autre métier en contact avec des clients Nous attendons...
Voir l’offre
il y a 1 heure",False,,2025-12-16T10:24:24.153696
